lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,distractor_id,target_id,trial_id
lmu_adult09,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,94
lmu_adult09,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,95
lmu_adult10,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,96
lmu_adult10,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,97
lmu_adult10,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,98
lmu_adult10,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,99
lmu_adult10,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,100
lmu_adult10,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,101
lmu_adult10,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,102
lmu_adult10,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,103
lmu_adult11,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,104
lmu_adult11,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,105
lmu_adult11,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,106
lmu_adult11,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,107
lmu_adult11,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,108
lmu_adult11,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,109
lmu_adult11,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,110
lmu_adult11,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,111
lmu_adult12,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,112
lmu_adult12,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,113
lmu_adult12,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,114
lmu_adult12,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,115
lmu_adult12,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,116
lmu_adult12,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,117
lmu_adult12,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,118
lmu_adult12,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,119
lmu_adult13,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,120
lmu_adult13,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,121
lmu_adult13,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,122
lmu_adult13,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,123
lmu_adult13,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,124
lmu_adult13,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,125
lmu_adult13,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,126
lmu_adult13,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,127
lmu_adult14,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,128
lmu_adult14,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,129
lmu_adult14,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,130
lmu_adult14,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,131
lmu_adult14,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,132
lmu_adult14,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,133
lmu_adult14,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,134
lmu_adult14,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,135
lmu_adult15,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,136
lmu_adult15,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,137
lmu_adult15,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,138
lmu_adult15,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,139
lmu_adult15,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,140
lmu_adult15,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,141
lmu_adult15,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,142
lmu_adult15,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,143
lmu_adult16,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,144
lmu_adult16,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,145
lmu_adult16,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,146
lmu_adult16,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,147
lmu_adult16,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,148
lmu_adult16,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,149
lmu_adult16,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,150
lmu_adult16,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,151
lmu_adult17,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,152
lmu_adult17,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,153
lmu_adult17,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,154
lmu_adult17,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,155
lmu_adult17,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,156
lmu_adult17,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,157
lmu_adult17,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,158
lmu_adult17,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,159
lmu_adult18,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,160
lmu_adult18,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,161
lmu_adult18,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,162
lmu_adult18,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,163
lmu_adult18,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,164
lmu_adult18,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,165
lmu_adult18,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,166
lmu_adult18,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,167
lmu_adult19,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,168
lmu_adult19,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,169
lmu_adult19,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,170
lmu_adult19,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,171
lmu_adult19,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,172
lmu_adult19,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,173
lmu_adult19,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,174
