participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabBrookes_OBBI_12-toddlers,babylabBrookes,OBBI_12-toddlers,toddlers,girl,NA,NA,588,588,19.31827515400411,no
babylabBrookes_OBBI_13-toddlers,babylabBrookes,OBBI_13-toddlers,toddlers,boy,NA,NA,582,582,19.121149897330596,no
babylabBrookes_OBBI_14-toddlers,babylabBrookes,OBBI_14-toddlers,toddlers,girl,NA,NA,740,740,24.31211498973306,no
babylabBrookes_OBBI_15-toddlers,babylabBrookes,OBBI_15-toddlers,toddlers,boy,NA,NA,698,698,22.93223819301848,no
babylabBrookes_OBBI_16-toddlers,babylabBrookes,OBBI_16-toddlers,toddlers,girl,NA,NA,599,599,19.679671457905542,no
babylabBrookes_OBBI_17-toddlers,babylabBrookes,OBBI_17-toddlers,toddlers,girl,NA,NA,776,776,25.494866529774125,no
babylabBrookes_OBBI_18-toddlers,babylabBrookes,OBBI_18-toddlers,toddlers,boy,NA,NA,779,779,25.593429158110887,no
babylabBrookes_OBBI_19-toddlers,babylabBrookes,OBBI_19-toddlers,toddlers,boy,NA,NA,623,623,20.46817248459959,no
babylabChicago_P_07-toddlers,babylabChicago,P_07-toddlers,toddlers,girl,NA,NA,685,685,22.50513347022587,no
babylabChicago_P_08-toddlers,babylabChicago,P_08-toddlers,toddlers,boy,NA,NA,658,658,21.61806981519507,no
babylabChicago_P_09-toddlers,babylabChicago,P_09-toddlers,toddlers,boy,NA,NA,622,622,20.435318275154003,no
babylabChicago_P_10-toddlers,babylabChicago,P_10-toddlers,toddlers,boy,NA,NA,660,660,21.68377823408624,no
babylabChicago_P_11-toddlers,babylabChicago,P_11-toddlers,toddlers,girl,NA,NA,607,607,19.942505133470224,no
babylabChicago_P_12-toddlers,babylabChicago,P_12-toddlers,toddlers,boy,NA,NA,660,660,21.68377823408624,no
babylabChicago_P_13-toddlers,babylabChicago,P_13-toddlers,toddlers,girl,NA,NA,597,597,19.613963039014372,no
babylabChicago_P_14-toddlers,babylabChicago,P_14-toddlers,toddlers,boy,NA,NA,584,584,19.186858316221766,no
babylabChicago_P_17-toddlers,babylabChicago,P_17-toddlers,toddlers,boy,NA,NA,612,612,20.10677618069815,no
babylabChicago_P_18-toddlers,babylabChicago,P_18-toddlers,toddlers,boy,NA,NA,621,621,20.402464065708422,no
babylabChicago_S_19-toddlers,babylabChicago,S_19-toddlers,toddlers,boy,NA,NA,519,519,17.05133470225873,yes
babylabChicago_S_26-toddlers,babylabChicago,S_26-toddlers,toddlers,boy,NA,NA,568,568,18.661190965092402,no
babylabChicago_s_20-toddlers,babylabChicago,s_20-toddlers,toddlers,girl,NA,NA,629,629,20.6652977412731,no
babylabChicago_s_21-toddlers,babylabChicago,s_21-toddlers,toddlers,girl,NA,NA,617,617,20.27104722792608,no
babylabChicago_s_23-toddlers,babylabChicago,s_23-toddlers,toddlers,boy,NA,NA,610,610,20.041067761806982,no
babylabChicago_s_24-toddlers,babylabChicago,s_24-toddlers,toddlers,girl,NA,NA,594,594,19.515400410677618,no
babylabChicago_s_25-toddlers,babylabChicago,s_25-toddlers,toddlers,girl,NA,NA,560,560,18.39835728952772,no
babylabINCC_BLI_318-adults,babylabINCC,BLI_318-adults,adults,man,23,23,NA,NA,NA,no
babylabINCC_BLI_320-adults,babylabINCC,BLI_320-adults,adults,man,19,19,NA,NA,NA,no
babylabINCC_BLI_325-adults,babylabINCC,BLI_325-adults,adults,man,24,24,NA,NA,NA,no
